City,2023_3,2023_2,2023_1,2022_4,2022_3,2022_2
Gondomar,7.25,6.91,6.38,6.62,6.35,6.17
Maia,7.57,7.89,7.14,7.4,6.89,6.87
Porto,11.66,11.95,11.32,10.64,10.0,10.15
Lisboa,15.79,15.23,14.54,14.13,13.06,12.61
Braga,7.26,6.84,6.52,6.45,6.37,5.91
Coimbra,6.79,7.6,6.85,6.56,6.15,6.56
